Zip,Latitude,Longitude
8008,39.542599,-74.298174
8021,39.80727,-75.006883
8034,39.9061,-75.000375
8046,40.02795,-74.886984
8057,39.979658,-74.941308
8068,39.961394,-74.665922
8079,39.542408,-75.431684
8090,39.799072,-75.150698
8103,39.935834,-75.113921
8203,39.425627,-74.392933
8225,39.362668,-74.541483
8246,39.180965,-74.765806
8314,39.221854,-74.940368
8326,39.537676,-74.92827
8345,39.282427,-75.160409
8402,39.326385,-74.504473
8515,40.119177,-74.662894
8536,40.332267,-74.581026
8560,40.31573,-74.857279
8628,40.264418,-74.827047
8721,39.902019,-74.152669
8736,40.120018,-74.053257
8757,39.946191,-74.254862
8810,40.368285,-74.490999
8826,40.716574,-74.912125
8837,40.513105,-74.344075
8858,40.682681,-74.737038
8879,40.46641,-74.278625
8904,40.500795,-74.427911
10011,40.742043,-74.00062
10022,40.75863,-73.967949
10032,40.838792,-73.94283
10065,40.764628,-73.963144
10152,40.758404,-73.972031
10172,40.755273,-73.974315
10301,40.627505,-74.094377
10311,40.605231,-74.179534
10458,40.862529,-73.888159
10468,40.86894,-73.899995
10503,41.026556,-73.87531
10516,41.461973,-73.874913
10528,40.975047,-73.724926
10545,41.178591,-73.83545
10566,41.289483,-73.916847
10588,41.336623,-73.820007
10603,41.0544,-73.779287
10707,40.960538,-73.822731
10911,41.319158,-74.008159
10922,41.33276,-73.996452
10933,41.368021,-74.512999
10962,41.050066,-73.958585
10976,41.02296,-73.928488
10989,41.122955,-73.938031
11005,40.756643,-73.71424
11096,40.621346,-73.75699
11204,40.618777,-73.984831
11214,40.599148,-73.99609
11224,40.577372,-73.988706
11235,40.583949,-73.949096
11358,40.760473,-73.796373
11368,40.749737,-73.853045
11379,40.716753,-73.879598
11419,40.688638,-73.822942
11429,40.709781,-73.738733
11509,40.587963,-73.728528
11548,40.812868,-73.627405
11560,40.880757,-73.588724
11576,40.798032,-73.647275
11693,40.590916,-73.809715
11710,40.671972,-73.531972
11722,40.783056,-73.194911
11735,40.732747,-73.432789
11751,40.730486,-73.213924
11764,40.92986,-72.973063
11777,40.956068,-73.066659
11789,40.962028,-72.971008
11801,40.762304,-73.524452
11937,41.013013,-72.168912
11950,40.807616,-72.847518
11960,40.810615,-72.706062
11972,40.847825,-72.702889
12010,42.937632,-74.173325
12027,42.935415,-73.907815
12041,42.577943,-73.95266
12056,42.764785,-74.09515
12066,42.805926,-74.233025
12077,42.58817,-73.777693
12093,42.497791,-74.628105
12120,42.449724,-74.148844
12136,42.420121,-73.565107
12150,42.880523,-74.052689
12161,42.534769,-73.854863
12174,42.353449,-73.728436
12187,42.61884,-74.463554
12198,42.672768,-73.633574
12211,42.703095,-73.763706
12401,41.92272,-74.202811
12414,42.232019,-73.913867
12427,42.134238,-74.136736
12438,42.204899,-74.601006
12450,42.133247,-74.244279
12460,42.415615,-74.14759
12472,41.84709,-74.079545
12485,42.205023,-74.144201
12496,42.338036,-74.270087
12514,41.877409,-73.764423
12525,41.691564,-74.188272
12540,41.671202,-73.724891
12561,41.759307,-74.096058
12574,41.917688,-73.945658
12589,41.623791,-74.158771
12721,41.581723,-74.422422
12736,41.852843,-75.021754
12748,41.774642,-74.922609
12763,41.676348,-74.522774
12776,41.96339,-74.957793
12787,41.795394,-74.845029
12809,43.237078,-73.454506
12822,43.228592,-73.922202
12836,43.712347,-73.605597
12847,44.008384,-74.609231
12859,43.171875,-73.920872
12872,43.874656,-73.734418
12903,44.680187,-73.444738
12920,44.882767,-74.066008
12932,44.214405,-73.608948
12944,44.433107,-73.533246
12959,44.952351,-73.719912
12972,44.554081,-73.569296
12983,44.2886,-74.183878
13020,42.816424,-76.074504
13033,43.188494,-76.562626
13045,42.573849,-76.202145
13064,43.328996,-76.711915
13078,42.958398,-76.061101
13101,42.589192,-76.056073
13115,43.398646,-76.478779
13132,43.271918,-76.251052
13145,43.646742,-76.116311
13159,42.802964,-76.111618
13204,43.050817,-76.177473
13215,42.980793,-76.223386
13309,43.452005,-75.355443
13320,42.777805,-74.740798
13331,43.866299,-74.880901
13342,42.654143,-75.195234
13357,42.971061,-75.081209
13403,43.164533,-75.267645
13416,43.187371,-74.970659
13435,43.304981,-75.150772
13456,43.000029,-75.255495
13473,43.646449,-75.443434
13488,42.688638,-74.750589
13601,43.968892,-75.906501
13615,44.047515,-75.985435
13625,44.538101,-74.928377
13639,44.263676,-75.150529
13652,44.432661,-75.186773
13665,44.04846,-75.434366
13676,44.65496,-74.926222
13690,44.097456,-75.007653
13732,42.049447,-76.167535
13750,42.471013,-74.857905
13775,42.327909,-75.134022
13788,42.339007,-74.666257
13806,42.379101,-74.957234
13825,42.435577,-75.204553
13841,42.40722,-75.840829
13859,42.372691,-75.245161
13904,42.134123,-75.820206
14013,43.08629,-78.397746
14034,42.500569,-78.865375
14048,42.484359,-79.317005
14062,42.438404,-79.143107
14080,42.648324,-78.548308
14102,42.837026,-78.557725
14126,43.335884,-78.72858
14139,42.718405,-78.541402
14172,43.272672,-78.812943
14209,42.913959,-78.866025
14219,42.788675,-78.826431
14261,43.007767,-78.791572
14418,42.60443,-77.216428
14435,42.712552,-77.663312
14467,43.036374,-77.612048
14479,43.236262,-78.313775
14505,43.159419,-77.168961
14519,43.233972,-77.314631
14534,43.05689,-77.521042
14548,42.976072,-77.24387
14569,42.735221,-78.171092
14592,42.872237,-77.895893
14613,43.182171,-77.640175
14623,43.087349,-77.641862
14710,42.08777,-79.419847
14721,42.013905,-78.266442
14733,42.160122,-79.172199
14744,42.4281,-78.206654
14760,42.074438,-78.413393
14781,42.161632,-79.601428
14805,42.350109,-76.719369
14816,42.197734,-76.735603
14826,42.491462,-77.497792
14843,42.320079,-77.646339
14859,42.114838,-76.538139
14873,42.522912,-77.298359
14885,42.046486,-77.570328
14901,42.087649,-76.746938
15009,40.697912,-80.365277
15022,40.124908,-79.939333
15035,40.384822,-79.807401
15050,40.563665,-80.434517
15061,40.659903,-80.319709
15074,40.734035,-80.208354
15086,40.674947,-80.106181
15110,40.373461,-79.850162
15135,40.310836,-79.812893
15147,40.497431,-79.831096
15209,40.498846,-79.969725
15219,40.443184,-79.983064
15229,40.520353,-80.037053
15243,40.375539,-80.075567
15316,39.7242,-80.252411
15330,40.179368,-80.089973
15344,39.915747,-80.061424
15357,39.941608,-79.980409
15368,40.013872,-79.989284
15412,40.088805,-79.859395
15427,40.069948,-79.974811
15437,39.780202,-79.612138
15449,39.964329,-79.783355
15462,40.064295,-79.378703
15474,39.751392,-79.893487
15486,40.025886,-79.711164
15530,39.940809,-78.924027
15540,39.797439,-79.239272
15554,40.122918,-78.621785
15601,40.314981,-79.534803
15621,40.213857,-79.483456
15632,40.439145,-79.600116
15642,40.319284,-79.723697
15662,40.334318,-79.478335
15676,40.240835,-79.465714
15688,40.168606,-79.584793
15701,40.628381,-79.150041
15722,40.594913,-78.724479
15733,40.988862,-78.959295
15746,40.758509,-78.889294
15760,40.648324,-78.800199
15774,40.65469,-79.323835
15801,41.125057,-78.722433
15840,41.171972,-78.822649
15857,41.454785,-78.520664
15902,40.322818,-78.883594
15925,40.408519,-78.640702
15937,40.205334,-78.984724
15951,40.333187,-78.770688
15962,40.38818,-78.715039
16028,40.951294,-79.635593
16041,41.005338,-79.714928
16055,40.716859,-79.749717
16110,41.505249,-80.380762
16123,40.821932,-80.196513
16137,41.231594,-80.238645
16153,41.32224,-80.086586
16211,40.794443,-79.202555
16228,40.760813,-79.535765
16242,41.009881,-79.365745
16256,40.855267,-79.134458
16314,41.520675,-80.077069
16329,41.798641,-79.258873
16344,41.470393,-79.684546
16361,41.384113,-79.342388
16402,41.961017,-79.469796
16416,41.825729,-79.472696
16433,41.737079,-80.140914
16501,42.121318,-80.089169
16511,42.166254,-79.990161
16620,40.840687,-78.351837
16634,40.210954,-78.173077
16647,40.400594,-78.103809
16662,40.312725,-78.29545
16673,40.312437,-78.391483
16689,40.129985,-78.12899
16725,41.908177,-78.655324
16735,41.636099,-78.813409
16801,40.778889,-77.841377
16828,40.812101,-77.680555
16839,41.003854,-78.110537
16852,40.937031,-77.518663
16866,40.829699,-78.181491
16879,40.970953,-78.151495
16921,41.724126,-77.556256
16933,41.819424,-77.062502
16946,41.909035,-77.136379
17009,40.636112,-77.565287
17021,40.330526,-77.668192
17032,40.491831,-76.832555
17042,40.294952,-76.424805
17052,40.276899,-77.986339
17063,40.761026,-77.484947
17073,40.302838,-76.255161
17084,40.675647,-77.626511
17101,40.258655,-76.894377
17201,39.961056,-77.656165
17220,40.19137,-77.738111
17236,39.800187,-77.9474
17249,40.241379,-77.899459
17261,39.860907,-77.508165
17272,39.769529,-77.62183
17315,40.026604,-76.864065
17327,39.779513,-76.753256
17350,39.890088,-77.079399
17365,40.060329,-76.933996
17406,40.014709,-76.640873
17516,39.94146,-76.371359
